ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
2170	Ubiquitin E3 ligase (CDC34, CUL1, RBX1)	Human	None	None	P49427;P62877;Q13616	997;9978;8454	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	14.07.05;14.13.01.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)	UBCH3; UBE2R1; UBC3;RNF75, ROC1;None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The conjugation of Nedd8 to the ROC1-CUL1 complex selectively stimulates Cdc34-catalyzed Lys48-linked multiubiquitin chain assembly.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CDC34;RBX1;CUL1	11675391	Ubiquitin-conjugating enzyme E2 R1;E3 ubiquitin-protein ligase RBX1;Cullin-1
2171	Ubiquitin E3 ligase (CHEK1, CUL4A)	Human	None	None	O14757;Q13619	1111;8451	MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0006974;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus;nucleus	14.07.05;14.13.01.01;32.01.09;70.10	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response;nucleus	CHK1;None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The Chk1 kinase is a major effector of S phase checkpoint signaling during the cellular response to genotoxic stress. Replicative stress induces the polyubiquitination and degradation of Chk1 in human cells.	None	Homo sapiens (Human);Homo sapiens (Human)	None	CHEK1;CUL4A	16137618	Serine/threonine-protein kinase Chk1;Cullin-4A
2172	Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	Human	None	None	P62877;Q13619;Q16531;Q9H211	9978;8451;1642;81620	MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0006974	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus	14.07.05;14.13.01.01;32.01.09	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response	RNF75, ROC1;None;XAP1;None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The CDT1-DDB1-CUL4A complex was observed in an investigation of targeted ubiquitination of CDT1 by the DDB1-CUL4A-ROC1 ligase in response to DNA damage.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RBX1;CUL4A;DDB1;CDT1	15448697	E3 ubiquitin-protein ligase RBX1;Cullin-4A;DNA damage-binding protein 1;DNA replication factor Cdt1
2173	COP9 signalosome complex	Mammalia	CSN	COS-7 cells; liver	A0A0D9RE31;A0A0D9RFH6;A0A0D9RNP2;A0A0D9S4T5;Q8VBV7	103245643;103226489;103236922;103243750;108679	MI:0019-coimmunoprecipitation;MI:0276-blue native page	GO:0001889;GO:0005634	liver development;nucleus	47.03.11.07;70.10	liver;nucleus	None;None;None;None;Csn8	CSN is a key player in the functional regulation of hepatopoietin (HPO).It also functions at the interface between signal transduction, ubiquitin-dependent proteolysis, and developmental control.	None	Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Mus musculus (Mouse)	Since COPS8 from green monkey was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	COPS2;GFER;COPS5;GPS1;Cops8	15304329	COP9 signalosome subunit 2;Sulfhydryl oxidase;COP9 signalosome subunit 5;G protein pathway suppressor 1;COP9 signalosome complex subunit 8
2174	COP9 signalosome complex	Human	JAB1-containing signalosome (GPS1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7); COP9 complex homolog	None	P61201;Q13098;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2	9318;2873;10980;10987;10920;51138;50813;8533	MI:0047-far western blotting	GO:2001141;GO:0006355;GO:0007165;GO:0009583;GO:0009416	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;signal transduction;detection of light stimulus;response to light stimulus	11.02.03.04;30;34.11.01	transcriptional control;CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM;photoperception and response	CSN2, TRIP15;COPS1, CSN1;CSN6, HVIP;CSN5, JAB1;CSN8;CSN4;CSN7A, DERP10;CSN3	The purified complex is very similar, if not identical, to the plant COP9 complex involved in light-mediated signal transduction. A regulating transcriptional activity is discussed.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Since the authors did not specify COP7, we used isoform COPS7A.	COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3	9535219	COP9 signalosome complex subunit 2;COP9 signalosome complex subunit 1;COP9 signalosome complex subunit 6;COP9 signalosome complex subunit 5;COP9 signalosome complex subunit 8;COP9 signalosome complex subunit 4;COP9 signalosome complex subunit 7a;COP9 signalosome complex subunit 3
2183	Kaiso-NCOR complex	Human	None	None	O15379;O60907;O75164;O75376;P52732;Q13227;Q86T24;Q92828;Q9BZK7;Q9UPN9	8841;6907;9682;9611;3832;2874;10009;7464;79718;51592	MI:0047-far western blotting	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0003677;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;16.03.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;nucleus	None;TBL1;JHDM3A JMJD2 JMJD2A KIAA0677;KIAA1047;EG5 KNSL1 TRIP5;None;KAISO ZNF348;IR10, WDR2;IRA1 TBLR1;KIAA1113 RFG7 TIF1G	Kaiso targets the N-CoR complex to the MTA2 gene promoter in a methylation-dependent manner.The authors postulate that deacetylation of chromatin stabilizes the association of Kaiso-N-CoR with chromatin.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HDAC3;TBL1X;KDM4A;NCOR1;KIF11;GPS2;ZBTB33;CORO2A;TBL1XR1;TRIM33	14527417	Histone deacetylase 3;F-box-like/WD repeat-containing protein TBL1X;Lysine-specific demethylase 4A;Nuclear receptor corepressor 1;Kinesin-like protein KIF11;G protein pathway suppressor 2;Transcriptional regulator Kaiso;Coronin-2A;F-box-like/WD repeat-containing protein TBL1XR1;E3 ubiquitin-protein ligase TRIM33
2184	Gata1-Gfi1b complex	Mouse	None	None	O70237;P17679	14582;14460	MI:0019- coimmunoprecipitation	GO:0045892;GO:0030154;GO:0005634	negative regulation of transcription, DNA-templated;cell differentiation;nucleus	11.02.03.04.03;40.02;70.10	transcription repression;cell differentiation;nucleus	;Gf-1	Experiments suggest a role for the Gata1-Gfi1b complex in the repression of genes associated with cell proliferation.	None	Mus musculus (Mouse);Mus musculus (Mouse)	None	Gfi1b;Gata1	15920471	Zinc finger protein Gfi-1b ;Erythroid transcription factor
2185	Gata1-Ldb1-Tal1 complex	Mouse	None	None	P17679;P22091;P70662	14460;21349;16825	MI:0019- coimmunoprecipitation	GO:0045893;GO:0030154;GO:0005634	positive regulation of transcription, DNA-templated;cell differentiation;nucleus	11.02.03.04.01;40.02;70.10	transcription activation;cell differentiation;nucleus	Gf-1;Scl Tal-1;Nli	Strong GATA-1 binding and a clear enrichment for TAL-1 binding were detected at the EKLF enhancer, providing evidence for a role as transcriptional activator for the Gata1-Ldb1-Tal1 complex.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Gata1;Tal1;Ldb1	15920471	Erythroid transcription factor;T-cell acute lymphocytic leukemia protein 1 homolog;LIM domain-binding protein 1
2186	Gata1-Snf2h complex	Mouse	None	None	P17679;Q91ZW3	14460;93762	MI:0019- coimmunoprecipitation	GO:0005634	nucleus	70.10	nucleus	Gf-1;Snf2h	The interaction between SNF2h and GATA-1 may help explain the observation that knocking down SNF2h expression in primary hematopoietic progenitor cells blocked erythroid differentiation (PMID:14617767).	None	Mus musculus (Mouse);Mus musculus (Mouse)	None	Gata1;Smarca5	15920471	Erythroid transcription factor;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5
2188	Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)	Human	None	None	P62877;P63208;Q13616;Q15843;Q9Y297	9978;6500;8454;4738;8945	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0005737	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm	14.07.05;14.13.01.01;70.03	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;None;None;TRCP1, BTRCP, FBW1A, FBXW1A	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Regulation of NF-kappaB occurs through phosphorylation-dependent ubiquitination of IkappaBalpha, which is degraded by the 26S proteasome. Recent studies have shown that ubiquitination of IkappaBalpha is carried out by ubiquitin E3 ligase complexes. Nedd8 modification of the Cul-1 component of ubiquitin E3 ligases is important for ubiquitination of IkappaBalpha.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RBX1;SKP1;CUL1;NEDD8;BTRC	10713156	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Cullin-1;NEDD8;F-box/WD repeat-containing protein 1A
2189	Ubiquitin E3 ligase (SMAD3, BTRC, CUL1, SKP1A, RBX1)	Human	ROC1-SCFFbw1a	None	P62877;P63208;P84022;Q13616;Q9Y297	9978;6500;4088;8454;8945	MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005737;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;cytoplasm;nucleus	14.07.05;14.13.01.01;30.01;70.03;70.10	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling;cytoplasm;nucleus	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;MADH3;None;TRCP1, BTRCP, FBW1A, FBXW1A	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Ubiquitin E3 ligase complex ROC1-SCFFbw1a interacts with activated Smad3 through its MH2 domain and induces the ubiquitination and proteasomal degradation of the transcriptional modulator Smad3.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RBX1;SKP1;SMAD3;CUL1;BTRC	11359933	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Mothers against decapentaplegic homolog 3;Cullin-1;F-box/WD repeat-containing protein 1A
2190	Ubiquitin E3 ligase (Fbxo15, Cul1, Skp1a)	Mouse	None	MG1.19 ES cells	Q9QZN0;Q9WTX5;Q9WTX6	50764;21402;26965	MI:0007-anti tag coimmunoprecipitation	GO:0006511;GO:0043161	ubiquitin-dependent protein catabolic process;proteasome-mediated ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	Fbx15;Skp1a;None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The F-box-containing protein Fbx15 is a novel target of the POU transcription factor Oct3/4 but is dispensable for embryonic stem cell self-renewal and mouse development.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Fbxo15;Skp1;Cul1	12665572	F-box only protein 15;S-phase kinase-associated protein 1;Cullin-1
2191	Ubiquitin E3 ligase (FBXO18, SKP1A, CUL1, RBX1)	Human	SCFhFBH1 complex	None	P62877;P63208;Q13616;Q8NFZ0	9978;6500;8454;84893	MI:0007-anti tag coimmunoprecipitation	GO:0006511	ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;None;FBH1 FBX18	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. hFBH1 is the first F-box protein implicated in nucleic acid metabolism.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RBX1;SKP1;CUL1;FBXO18	11956208	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Cullin-1;F-box DNA helicase 1
2192	Ubiquitin E3 ligase (NIPA, SKP1A, CUL1, RBX1)	Human	SCF(NIPA)	None	P62877;P63208;Q13616;Q86WB0	9978;6500;8454;51530	MI:0007-anti tag coimmunoprecipitation	GO:0000278;GO:0016567;GO:0043161;GO:0006511;GO:0005634	mitotic cell cycle;protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;nucleus	10.03.01.01;14.07.05;14.13.01.01;70.10	mitotic cell cycle;modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);nucleus	RNF75, ROC1;EMC19, OCP2, SKP1A, TCEB1L;None;NIPA	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Activity of ubiquitin E3 ligase (containing NIPA, SKP1A, CUL1 and RBX1) oscillates throughout the cell cycle, and cell-cycle-regulated phosphorylation of NIPA constitutes the responsible timing circuit. Nuclear cyclin B1 was identified to be a critical substrate of the complex in interphase. According to the oscillating activity of ubiquitin E3 ligase (containing NIPA, SKP1A, CUL1 and RBX1), this targeting process is terminated at G2/M to allow for nuclear cyclin B1 accumulation, which is necessary for mitotic entry.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RBX1;SKP1;CUL1;ZC3HC1	16009132	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Cullin-1;Nuclear-interacting partner of ALK
2193	Ubiquitin E3 ligase (Fbxo32, Skp1a, Cul1, Rbx1)	Mouse	None	striated muscle	P62878;Q9CPU7;Q9WTX5;Q9WTX6	56438;67731;21402;26965	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	14.07.05;14.13.01.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)	None;None;Skp1a;None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Atrogin-1 (Fbxo32) is one of the few examples of an F-box protein or Ub-protein ligase (E3) expressed in a tissue-specific manner (striated muscles) and appears to be a critical component in the enhanced proteolysis leading to muscle atrophy in diverse diseases.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Rbx1;Fbxo32;Skp1;Cul1	11717410	E3 ubiquitin-protein ligase RBX1;F-box only protein 32;S-phase kinase-associated protein 1;Cullin-1
2194	Ubiquitin E3 ligase (Fbxo2, Skp1a, Cul1, Rbx1)	Mouse	SCF(Fbx2)	None	P62878;Q80UW2;Q9WTX5;Q9WTX6	56438;230904;21402;26965	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0030968;GO:0005737	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;endoplasmic reticulum unfolded protein response;cytoplasm	14.07.05;14.13.01.01;32.01.07;70.03	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);unfolded protein response (e.g. ER quality control);cytoplasm	None;Fbs1 Fbx2;Skp1a;None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Results indicate that SCF(Fbx2) ubiquitinates N-glycosylated proteins that are translocated from the ER to the cytosol by the quality control mechanism.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Rbx1;Fbxo2;Skp1;Cul1	12140560	E3 ubiquitin-protein ligase RBX1;F-box only protein 2;S-phase kinase-associated protein 1;Cullin-1
2196	9-1-1-LIG1 complex	Human	LIG1-9-1-1 complex	None	O60671;O60921;P18858;Q99638	5810;3364;3978;5883	MI:0007-anti tag coimmunoprecipitation	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.03.01.03;32.01.09;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	REC1;None;None;None	The 9-1-1 complex can stimulate DNA ligase I.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RAD1;HUS1;LIG1;RAD9A	15871698	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;DNA ligase 1;Cell cycle checkpoint control protein RAD9A
2197	9-1-1-FEN1 complex	Human	FEN1-9-1-1 complex	None	O60671;O60921;P39748;Q99638	5810;3364;2237;5883	MI:0006-anti bait coimmunoprecipitation	GO:0006308;GO:0006401;GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;10.03.01.03;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	REC1;None;RAD2;None	The 9-1-1 complex stimulates FEN1 activity.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RAD1;HUS1;FEN1;RAD9A	15556996	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;Flap endonuclease 1;Cell cycle checkpoint control protein RAD9A
2198	9-1-1-POLB complex	Human	RAD9-RAD1-HUS1-POLB complex	None	O60671;O60921;P06746;Q99638	5810;3364;5423;5883	MI:0007-anti tag coimmunoprecipitation	GO:0006281;GO:0000075;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.03.01.03;32.01.09;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus	REC1;None;None;None	The 9-1-1 complex directly interacts with and stimulates POLB activity thus recruiting POLB to DNA damage sites.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RAD1;HUS1;POLB;RAD9A	15314187	Cell cycle checkpoint protein RAD1;Checkpoint protein HUS1;DNA polymerase beta;Cell cycle checkpoint control protein RAD9A
2199	CHTF18-RFC2-5 complex	Human	CTF18-RFC subcomplex	None	P35249;P35250;P40937;P40938;Q8WVB6	5984;5982;5985;5983;63922	MI:0007-anti tag coimmunoprecipitation	GO:0006260;GO:0007059;GO:0051276;GO:0005634;GO:0003677;GO:0016887	DNA replication;chromosome segregation;chromosome organization;nucleus;DNA binding;ATPase activity	10.01.03;10.03.04.05;42.10.03;70.10;16.03.01	DNA synthesis and replication;chromosome segregation/division;organization of chromosome structure;nucleus;DNA binding	None;None;None;None;C16orf41, CTF18, CHL12	CTF18 interacts with RFC5.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RFC4;RFC2;RFC5;RFC3;CHTF18	12930902	Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 5;Replication factor C subunit 3;Chromosome transmission fidelity protein 18 homolog
2200	RFC2-5 subcomplex	Human	None	None	P35249;P35250;P40937;P40938	5984;5982;5985;5983	MI:0029-cosedimentation through density gradients	GO:0006260;GO:0003677;GO:0005634;GO:0016887	DNA replication;DNA binding;nucleus;ATPase activity	10.01.03;16.03.01;70.10	DNA synthesis and replication;DNA binding;nucleus	None;None;None;None	Reconstitution experiments have revealed that a minimum of three subunits (the 40-, 37-, and 36-kDa subunits) are required for DNA-dependent ATPase activity in vitro.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	RFC4;RFC2;RFC5;RFC3	9488738	Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 5;Replication factor C subunit 3
2203	BRD4-RFC complex	Human	None	None	O60885;P35249;P35250;P35251;P40937;P40938	23476;5984;5982;5981;5985;5983	MI:0007- anti tag coimmunoprecipitation	GO:0000278;GO:0051726;GO:0000082;GO:0005634	mitotic cell cycle;regulation of cell cycle;G1/S transition of mitotic cell cycle;nucleus	10.03.01.01;10.03.01;10.03.01.01.03;70.10	mitotic cell cycle;mitotic cell cycle and cell cycle control;G1/S transition of mitotic cell cycle;nucleus	HUNK1;None;None;RFC140;None;None	BRD4 regulates cell cycle progression from G1 to S phase by interacting with RFC1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	BRD4;RFC4;RFC2;RFC1;RFC5;RFC3	12192049	Bromodomain-containing protein 4;Replication factor C subunit 4;Replication factor C subunit 2;Replication factor C subunit 1;Replication factor C subunit 5;Replication factor C subunit 3
2204	MCM8-ORC2-CDC6 complex	Human	None	None	Q13416;Q99741;Q9UJA3	4999;990;84515	MI:0019- coimmunoprecipitation	GO:0006260;GO:0000082;GO:0005634	DNA replication;G1/S transition of mitotic cell cycle;nucleus	10.01.03;10.03.01.01.03;70.10	DNA synthesis and replication;G1/S transition of mitotic cell cycle;nucleus	ORC2L;CDC18L;C20orf154	Down-regulation of MCM8 impairs the G1-to-S transition.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ORC2;CDC6;MCM8	15684404	Origin recognition complex subunit 2;Cell division control protein 6 homolog ;DNA helicase MCM8
2210	BRCA1-IRIS-pre-replication complex	Human	None	None	O75496;Q13415;Q5YLB2;Q99741	51053;4998;672;990	MI:0006- anti bait coimmunoprecipitation; MI:0402- chromatin immunoprecipitation assays	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	None;ORC1L PARC1;;CDC18L	BRCA1-IRIS is a BRCA1 gene product encoded by an uninterrupted open reading frame that extends from codon 1 of the known BRCA1 open reading frame to a termination point 34 triplets into intron 11. BRCA1-IRIS localizes to the nucleus and fails to interact with BARD1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	GMNN;ORC1;BRCA1;CDC6	15448696	Geminin;Origin recognition complex subunit 1 ;Breast cancer type 1 susceptibility protein ;Cell division control protein 6 homolog
2211	BARD1-BRCA1-CSTF complex	Human	None	None	P33240;P38398;Q05048;Q12996;Q99728	1478;672;1477;1479;580	MI:0006- anti bait coimmunoprecipitation	GO:0031123;GO:0031124;GO:0003723;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus	11.04.03.05;16.03.03;70.10	3'-end processing;RNA binding;nucleus	None;RNF53;None;None;None	Interaction of BARD1 with CstF inhibits RNA polyadenylation and ensures that at DNA damage sites nascent RNAs are not erroneously polyadenylated.	BRCA1 is involved in breast cancer.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CSTF2;BRCA1;CSTF1;CSTF3;BARD1	10477523	Cleavage stimulation factor subunit 2;Breast cancer type 1 susceptibility protein;Cleavage stimulation factor subunit 1;Cleavage stimulation factor subunit 3;BRCA1-associated RING domain protein 1
2213	BRCA1-BARD1-POLR2A complex	Human	None	None	P24928;P38398;Q99728	5430;672;580	MI:0019-coimmunoprecipitation	GO:2001141;GO:0006355;GO:0016567;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein ubiquitination;nucleus	11.02.03.04;14.07.05;70.10	transcriptional control;modification by ubiquitination, deubiquitination;nucleus	POLR2;RNF53;None	BRCA1 and BARD1 heterodimer ubiquitinates a hyperphosphorylated form of POLR2A.	BRCA1 is involved in breast cancer.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	POLR2A;BRCA1;BARD1	15886201	DNA-directed RNA polymerase II subunit RPB1;Breast cancer type 1 susceptibility protein;BRCA1-associated RING domain protein 1
2214	LMO4-BRCA1-CTIP-LDB1 complex	Human	None	None	P38398;P61968;Q86U70;Q99708	672;8543;8861;5932	MI:0006- anti bait coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	RNF53;;CLIM2;CTIP	None	BRCA1 is involved in breast cancer.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	BRCA1;LMO4;LDB1;RBBP8	11751867	Breast cancer type 1 susceptibility protein;LIM domain transcription factor LMO4 ;LIM domain-binding protein 1 ;DNA endonuclease RBBP8
2215	BRCA1-LMO4-CTIP complex	Human	None	None	P38398;P61968;Q99708	672;8543;5932	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	RNF53;;CTIP	LMO4 functions as a repressor of BRCA1 activity in breast tissue.	BRCA1 is involved in breast cancer.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	BRCA1;LMO4;RBBP8	11751867	Breast cancer type 1 susceptibility protein;LIM domain transcription factor LMO4 ;DNA endonuclease RBBP8
